date,location,target,assay,conc,type,frequency,lod,label
2021-09-14,Inlet,sxtA,toxins,NA,Grab,Weekly,180,italic(`sxtA`)
2021-09-14,Outlet,sxtA,toxins,NA,Grab,Weekly,180,italic(`sxtA`)
2021-09-14,Inlet,sxtA,toxins,NA,Passive,Weekly,260,italic(`sxtA`)
2021-09-14,Inlet,mcyE/ndaF,toxins,1701.9463437675988,Passive,Bi-Weekly,260,italic(`mcyE/ndaF`)
2021-09-14,Outlet,mcyE/ndaF,toxins,3739.362835715388,Passive,Weekly,260,italic(`mcyE/ndaF`)
2021-09-14,Outlet,mcyE/ndaF,toxins,1479.8844700387501,Passive,Bi-Weekly,260,italic(`mcyE/ndaF`)
2021-09-14,Inlet,mcyE/ndaF,toxins,4363.869588520789,Grab,Weekly,180,italic(`mcyE/ndaF`)
2021-09-14,Outlet,mcyE/ndaF,toxins,27068.9444202211,Grab,Weekly,180,italic(`mcyE/ndaF`)
2021-09-14,Inlet,mcyE/ndaF,toxins,26.75776176383171,Passive,Weekly,260,italic(`mcyE/ndaF`)
2021-09-16,Intake,16S rRNA,16s rrna,1001635.0917861128,Passive,Weekly,260,NA
2021-09-16,Intake,cyrA,toxins,NA,Passive,Weekly,260,italic(`cyrA`)
2021-09-16,Intake,sxtA,toxins,NA,Passive,Weekly,260,italic(`sxtA`)
2021-09-16,Intake,mcyE/ndaF,toxins,35848.37409442709,Passive,Weekly,260,italic(`mcyE/ndaF`)
2021-09-21,Inlet,16S rRNA,16s rrna,122579.67220105675,Passive,Weekly,260,NA
2021-09-21,Outlet,16S rRNA,16s rrna,113557.9857080162,Passive,Weekly,260,NA
2021-09-21,Inlet,16S rRNA,16s rrna,44834.617295572694,Grab,Weekly,180,NA
2021-09-21,Outlet,16S rRNA,16s rrna,89933.51756790988,Grab,Weekly,180,NA
2021-09-21,Inlet,cyrA,toxins,NA,Passive,Weekly,260,italic(`cyrA`)
2021-09-21,Outlet,cyrA,toxins,NA,Passive,Weekly,260,italic(`cyrA`)
2021-09-21,Inlet,cyrA,toxins,NA,Grab,Weekly,180,italic(`cyrA`)
