date,location,target,assay,conc,type,frequency,lod
2021-09-16,intake,cyra,toxins,NA,passive,weekly,260
2021-09-16,intake,sxta,toxins,NA,passive,weekly,260
2021-09-16,intake,mcye_ndaf,toxins,35848.37409442709,passive,weekly,260
2021-09-21,inlet,total_cyano,16s rrna,122579.67220105675,passive,weekly,260
2021-09-21,outlet,total_cyano,16s rrna,113557.9857080162,passive,weekly,260
2021-09-21,inlet,total_cyano,16s rrna,44834.617295572694,grab,weekly,180
2021-09-21,outlet,total_cyano,16s rrna,89933.51756790988,grab,weekly,180
2021-09-21,inlet,cyra,toxins,NA,passive,weekly,260
2021-09-21,outlet,cyra,toxins,NA,passive,weekly,260
2021-09-21,inlet,cyra,toxins,NA,grab,weekly,180
2021-09-21,outlet,cyra,toxins,NA,grab,weekly,180
2021-09-21,inlet,sxta,toxins,NA,passive,weekly,260
2021-09-21,outlet,sxta,toxins,NA,passive,weekly,260
2021-09-21,inlet,sxta,toxins,NA,grab,weekly,180
2021-09-21,outlet,sxta,toxins,NA,grab,weekly,180
2021-09-21,inlet,mcye_ndaf,toxins,NA,passive,weekly,260
2021-09-21,outlet,mcye_ndaf,toxins,147.5500244912651,passive,weekly,260
2021-09-21,inlet,mcye_ndaf,toxins,178.16128359539235,grab,weekly,180
2021-09-21,outlet,mcye_ndaf,toxins,954.6747562689293,grab,weekly,180
2021-09-21,inlet,total_cyano,16s rrna,160071.9875766062,passive,weekly,260
2021-09-21,outlet,total_cyano,16s rrna,158563.37034441042,passive,weekly,260
2021-09-21,inlet,total_cyano,16s rrna,64152.19586982592,grab,weekly,180
2021-09-21,outlet,total_cyano,16s rrna,119289.92717776827,grab,weekly,180
2021-09-23,intake,cyra,toxins,8.061166324903846,passive,weekly,260
2021-09-23,intake,sxta,toxins,NA,passive,weekly,260
2021-09-23,intake,mcye_ndaf,toxins,1464.4550625161278,passive,weekly,260
2021-09-23,intake,total_cyano,16s rrna,184065.32218185463,passive,weekly,260
2021-09-28,inlet,total_cyano,16s rrna,198862.02713597415,passive,bi-weekly,260
2021-09-28,inlet,total_cyano,16s rrna,103025.25716988355,grab,weekly,180
2021-09-28,outlet,total_cyano,16s rrna,162429.83153319734,grab,weekly,180
2021-09-28,inlet,total_cyano,16s rrna,177054.68981067996,passive,weekly,260
2021-09-28,inlet,cyra,toxins,110.36899725987062,passive,weekly,260
2021-09-28,inlet,cyra,toxins,63.46871737358917,passive,bi-weekly,260
2021-09-28,inlet,cyra,toxins,54.85430501708706,grab,weekly,180
2021-09-28,outlet,cyra,toxins,587.6566043487819,grab,weekly,180
2021-09-28,inlet,sxta,toxins,NA,passive,weekly,260
2021-09-28,inlet,sxta,toxins,NA,passive,bi-weekly,260
2021-09-28,inlet,sxta,toxins,NA,grab,weekly,180
2021-09-28,outlet,sxta,toxins,NA,grab,weekly,180
2021-09-28,inlet,mcye_ndaf,toxins,46.74721441859464,passive,weekly,260
2021-09-28,inlet,mcye_ndaf,toxins,47.20087743485496,passive,bi-weekly,260
2021-09-28,inlet,mcye_ndaf,toxins,751.8176511208294,grab,weekly,180
2021-09-28,outlet,mcye_ndaf,toxins,20597.725226031416,grab,weekly,180
2021-09-29,intake,cyra,toxins,91.78819867166644,passive,weekly,260
2021-09-29,intake,sxta,toxins,NA,passive,weekly,260
2021-09-29,intake,mcye_ndaf,toxins,10006.17881038047,passive,weekly,260
2021-09-29,intake,total_cyano,16s rrna,435427.6906205578,passive,weekly,260
2021-10-05,inlet,total_cyano,16s rrna,391702.0171653722,passive,weekly,260
2021-10-05,outlet,total_cyano,16s rrna,450944.03633944225,passive,weekly,260
2021-10-05,inlet,total_cyano,16s rrna,97229.50344071958,grab,weekly,180
2021-10-05,outlet,total_cyano,16s rrna,98249.09854273632,grab,weekly,180
2021-10-05,inlet,cyra,toxins,254.39647844347,passive,weekly,260
2021-10-05,outlet,cyra,toxins,NA,passive,weekly,260
2021-10-05,inlet,cyra,toxins,19.008491504098924,grab,weekly,180
2021-10-05,outlet,cyra,toxins,393319.0092759488,grab,weekly,180
2021-10-05,inlet,sxta,toxins,NA,passive,weekly,260
2021-10-05,outlet,sxta,toxins,NA,passive,weekly,260
2021-10-05,inlet,sxta,toxins,NA,grab,weekly,180
2021-10-05,outlet,sxta,toxins,NA,grab,weekly,180
2021-10-05,inlet,mcye_ndaf,toxins,803.2681418397011,passive,weekly,260
2021-10-05,outlet,mcye_ndaf,toxins,1672.8233300538584,passive,weekly,260
2021-10-05,inlet,mcye_ndaf,toxins,936.0172188378522,grab,weekly,180
2021-10-05,outlet,mcye_ndaf,toxins,3949.41510661616,grab,weekly,180
2021-10-07,intake,cyra,toxins,306.53977466741344,passive,weekly,260
2021-10-07,intake,sxta,toxins,NA,passive,weekly,260
2021-10-07,intake,mcye_ndaf,toxins,19638.63645848711,passive,weekly,260
2021-10-07,intake,total_cyano,16s rrna,695816.0932791184,passive,weekly,260
2021-10-12,inlet,total_cyano,16s rrna,178692.70071036986,grab,weekly,180
2021-10-12,outlet,total_cyano,16s rrna,87869.26671857233,grab,weekly,180
2021-10-12,inlet,total_cyano,16s rrna,204320.68650125744,passive,bi-weekly,260
2021-10-12,outlet,total_cyano,16s rrna,140795.2970930476,passive,weekly,260
2021-10-12,inlet,total_cyano,16s rrna,413668.36178949836,passive,weekly,260
2021-10-12,outlet,total_cyano,16s rrna,164947.53970703392,passive,bi-weekly,260
2021-10-12,inlet,cyra,toxins,NA,passive,weekly,260
2021-10-12,inlet,cyra,toxins,63.8469658587668,passive,bi-weekly,260
2021-10-12,outlet,cyra,toxins,571.1550841933437,passive,weekly,260
2021-10-12,outlet,cyra,toxins,NA,passive,bi-weekly,260
